reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
CA-0001,Alaksen National Wildlife Area,49.1013,-123.173,CN89jc,CA-BC,12,10,354,0,0
CA-0002,Aulavik National Park,72.0357,-125.264,CQ72ia,CA-NT,0,0,0,0,0
CA-0003,Auyuittuq National Park,67.4895,-66.056,FP67xl,CA-NU,0,0,0,0,0
CA-0004,Baie de l'Isle-Verte National Wildlife Area,48.0213,-69.3416,FN58ha,CA-QC,43,43,943,0,0
CA-0005,Banff National Park,51.4968,-115.928,DO21al,CA-AB,126,105,2287,1,0
CA-0006,Big Creek National Wildlife Area,42.5936,-80.4487,EN92so,CA-ON,15,14,510,0,0
CA-0007,Blue Quills National Wildlife Area,53.9997,-111.385,DO43hx,CA-AB,1,1,24,0,0
CA-0008,Boot Island National Wildlife Area,45.1413,-64.2655,FN75ud,CA-NS,0,0,0,0,0
CA-0009,Bradwell National Wildlife Area,51.9078,-106.252,DO61uv,CA-SK,3,3,104,0,0
CA-0010,Bruce Peninsula National Park,45.2265,-81.523,EN95ff,CA-ON,40,38,1387,0,0
CA-0011,CFB Suffield National Wildlife Area,50.4789,-110.506,DO40rl,CA-AB,0,0,0,0,0
CA-0012,Cap Tourmente National Wildlife Area,47.0642,-70.7964,FN47ob,CA-QC,15,13,281,0,0
CA-0013,Cape Breton Highlands National Park,46.7383,-60.651,FN96qr,CA-NS,37,36,983,0,0
CA-0014,Cape Jourimain National Wildlife Area,46.1519,-63.8225,FN86cd,CA-NB,17,17,1120,0,0
CA-0015,Charlevoix Biosphere Reserve,47.6667,-70.55,FN47rq,CA-QC,8,7,206,0,0
CA-0016,Chignecto National Wildlife Area,45.7972,-64.2601,FN75ut,CA-NS,10,10,672,0,0
CA-0017,Clayoquot Sound Biosphere Reserve,49.2833,-126,CN79ag,CA-BC,17,15,599,0,0
CA-0018,Columbia National Wildlife Area,50.8044,-116.272,DO10ut,CA-BC,2,2,213,0,0
CA-0020,Elk Island National Park,53.6206,-112.869,DO33no,CA-AB,77,69,3144,1,0
CA-0021,Fathom Five National Park,45.2572,-81.6564,EN95eg,CA-ON,17,16,508,0,0
CA-0022,Forillon National Park,48.9595,-64.3359,FN78tx,CA-QC,13,11,349,0,0
CA-0023,Frontenac Arch Biosphere Reserve,44.3333,-76.1667,FN14vh,CA-ON,318,296,12361,0,0
CA-0024,Fundy Biosphere Reserve,45.61,-65.0299,FN75lo,CA-NB,121,118,14806,0,0
CA-0025,Fundy National Park,45.5963,-64.9507,FN75mo,CA-NB,50,45,1965,0,0
CA-0026,Georgian Bay Islands National Park,44.8743,-79.87,FN04bu,CA-ON,11,11,460,0,0
CA-0027,Georgian Bay Littoral Biosphere Reserve,45.2062,-80.167,EN95ve,CA-ON,80,79,5686,0,0
CA-0028,Glacier National Park,51.3353,-117.53,DO11fi,CA-BC,19,11,268,1,0
CA-0029,Grasslands National Park,49.1286,-107.426,DN69gd,CA-SK,21,21,544,0,0
CA-0030,Gros Morne National Park,49.652,-57.7558,GN19cp,CA-NL,59,53,1506,0,0
CA-0031,Gulf Islands National Park,48.745,-123.22,CN88jr,CA-BC,61,57,1641,0,0
CA-0032,Gwaii Haanas and Haida National Park,52.4683,-131.558,CO42fl,CA-BC,0,0,0,0,0
CA-0033,Île Bonaventure et du Rocher Perce National Park,48.5229,-64.2116,FN78vm,CA-QC,1,1,54,0,0
CA-0034,Île-Brion Ecological Reserve,47.7982,-61.4561,FN97gt,CA-QC,0,0,0,0,0
CA-0035,Île d'Anticosti National Park,49.5985,-62.6866,FN89po,CA-QC,4,4,76,0,0
CA-0036,Îles de Contrecoeur National Wildlife Area,45.8512,-73.2591,FN35iu,CA-QC,1,1,16,0,0
